issn_l,citescore_analogo
0003-6951,3.57
0003-2700,6.14
0006-291X,2.29
0002-9378,1.68
0006-2960,2.3
0003-3022,2.38
0003-2697,3.07
0002-9505,0.83
0002-8614,2.24
0002-1962,1.61
0003-9993,0.71
0002-9637,1.5
0001-1541,3.45
0001-6489,0.78
0005-2736,2.28
0003-4916,2.31
0001-5172,1.73
0004-282X,0.19
0001-6314,0.52
0003-9969,2.02
0003-2719,1.94
0003-4746,1.35
0002-9440,3.14
0003-682X,4.49
0003-3197,1.43
0001-706X,2.26
0003-9985,2.23
0003-4983,0.0
0001-2815,0.0
0001-3765,1.15
0004-2749,0.6
0005-7959,0.67
0006-3088,1.62
0001-5547,0.97
0002-5232,0.21
0004-2730,0.0
0002-7014,0.74
0004-2803,1.04
0004-2773,0.06
0002-5216,0.08
0006-4971,1.18
0009-7322,1.93
0006-3495,0.42
0009-2614,2.56
0006-8993,2.9
0013-4651,3.36
0013-4686,4.47
0009-2673,3.03
0009-7330,4.62
0008-6223,10.71
0007-1048,2.39
0007-0920,5.91
0007-1188,4.23
0011-183X,2.13
0009-9236,3.32
0012-1622,1.5
0010-938X,9.72
0007-1145,1.98
0008-6363,4.05
0009-2541,2.85
0008-8749,2.7
0008-4166,2.36
0008-4034,2.04
0010-4825,6.98
0008-4212,1.98
0009-9120,1.65
0009-2797,4.4
0006-341X,1.26
0009-9163,1.79
0010-3624,2.44
0009-9104,3.56
0006-3185,0.3
0009-3084,1.96
0008-6312,1.21
0008-3984,0.97
0007-070X,3.32
0007-196X,0.54
0009-6725,0.17
0010-5236,0.24
0006-6079,0.3
0021-8979,2.68
0021-8995,2.44
0021-8561,5.56
0021-8812,0.73
0016-2361,6.69
0014-2999,3.99
0019-9567,3.44
0020-1693,2.88
0018-8158,1.93
0013-9351,7.2
0018-9545,4.34
0016-5751,0.31
0014-2980,2.95
0020-1383,1.75
0015-0193,1.26
0020-7608,2.67
0013-9580,4.03
0020-1324,1.2
0019-5456,0.84
0016-6480,1.73
0014-2336,1.56
0017-8748,3.03
0021-8944,0.53
0014-4894,1.47
0021-891X,3.24
0020-7519,2.08
0019-2805,3.56
0021-9045,0.67
0018-9391,5.86
0021-8782,1.69
0021-7557,2.27
0020-7128,2.99
0014-4800,3.1
0014-3065,3.35
0018-2214,0.0
0019-8366,0.95
0015-3826,0.27
0020-3653,0.25
0015-5683,1.75
0020-8868,0.1
0022-5347,0.31
0021-9606,3.81
0022-1767,0.65
0021-9584,2.84
0021-972X,4.82
0021-9797,9.84
0022-2860,4.82
0022-2461,3.69
0022-0248,2.15
0022-510X,0.81
0023-852X,1.56
0022-3468,1.55
0022-247X,1.02
0022-3093,3.24
0022-3166,2.51
0022-1147,3.4
0022-1007,9.03
0021-9967,1.82
0022-3697,5.36
0022-2313,3.42
0023-6438,6.17
0022-0957,5.29
0022-3573,2.98
0022-1112,1.49
0022-4766,1.19
0022-1139,0.95
0022-4715,1.34
0022-2291,1.64
0022-2615,2.72
0023-6837,0.26
0021-9975,0.3
0022-2631,1.96
0022-2933,0.66
0022-0299,0.84
0022-4197,1.91
0022-1511,0.76
0022-0426,0.82
0022-2895,0.9
0022-0175,3.41
0022-4707,0.89
0027-8424,7.66
0028-3878,1.37
0032-1052,1.42
0025-7974,1.72
0031-3998,2.21
0024-3205,5.65
0032-0889,5.69
0028-1042,1.39
0031-5125,2.11
0032-0943,0.5
0031-6768,4.41
0026-265X,4.11
0032-5910,4.27
0031-9023,2.71
0031-9384,2.04
0024-3795,0.71
0026-3672,4.98
0029-5981,2.66
0031-0182,2.09
0026-0495,7.94
0025-5718,1.71
0025-3162,2.04
0031-9406,0.45
0031-1820,1.58
0034-5288,1.58
0028-3940,2.06
0031-9120,0.9
0024-4066,1.43
0028-3886,0.52
0024-4074,1.54
0030-6665,1.31
0034-6659,1.26
0033-2933,1.04
0024-1164,1.34
0025-6501,0.07
0034-7094,0.0
0031-0239,1.77
0028-3843,1.52
0031-2983,1.6
0026-4970,0.0
0036-8075,18.57
0039-2499,1.58
0040-6090,2.43
0038-1098,3.09
0039-6028,2.11
0039-9140,6.05
0042-6822,2.53
0041-1345,0.82
0041-0101,1.47
0035-9203,1.58
0041-1132,1.45
0041-008X,2.82
0034-8007,0.1
0039-128X,2.35
0034-7167,0.57
0037-0738,2.44
0037-8682,1.39
0034-8910,1.72
0040-8166,2.28
0042-9686,3.3
0036-4665,1.18
0034-8309,0.36
0036-5599,0.0
0034-9240,0.36
0034-8554,0.06
0035-001X,0.66
0034-7116,0.53
0042-3955,0.14
0034-737X,0.45
0034-7612,0.48
0034-7183,0.25
0034-7280,0.26
0034-7299,0.0
0034-9690,0.38
0034-7108,0.0
0038-2337,0.24
0034-740X,0.25
0034-7140,0.06
0034-7272,0.0
0041-8781,0.0
0094-243X,0.44
0048-9697,10.21
0077-8923,3.18
0090-3493,0.99
0091-6749,1.6
0090-4295,0.95
0043-1354,11.47
0092-8674,36.42
0085-2538,11.91
0090-0036,2.25
0043-1648,5.19
0093-691X,2.36
0090-6778,4.38
0049-6979,3.16
0091-3057,2.52
0046-8177,1.97
0046-225X,1.62
0045-2068,4.05
0048-5772,3.06
0074-0276,1.58
0049-4747,1.5
0066-782X,0.93
0091-2751,0.93
0090-6964,2.39
0045-7906,6.44
0049-8254,1.54
0072-1050,1.63
0080-6234,0.49
0093-7355,1.08
0090-1229,0.0
0090-5550,0.94
0073-9855,0.11
0076-6046,0.1
0065-1737,0.3
0047-2085,0.29
0045-6888,0.73
0071-1276,0.0
0073-4721,0.9
0046-9939,0.65
0073-4705,1.33
0098-7484,7.96
0095-1137,3.8
0099-2399,3.11
0098-1354,4.47
0095-8972,1.69
0100-204X,0.54
0100-4042,0.3
0098-6445,2.09
0098-5589,5.28
0098-9886,1.26
0095-3628,3.8
0100-879X,1.7
0101-2061,0.66
0100-0683,1.41
0094-5145,1.49
0100-7203,1.67
0100-736X,0.65
0100-6991,0.57
0100-3984,0.7
0100-5502,0.41
0100-8307,0.28
0100-6916,1.13
0100-8358,0.0
0100-0233,0.2
0100-8404,1.6
0101-3173,0.56
0101-2800,0.56
0100-0888,0.05
0100-5405,0.03
0100-4670,0.73
0101-3289,0.27
0100-316X,1.06
0101-2657,0.09
0101-3335,0.04
0100-3283,0.12
0101-1812,0.1
0100-0039,0.0
0100-3674,0.38
0100-7467,0.0
0100-7912,0.02
0102-311X,1.41
0102-0935,0.53
0102-0536,0.98
0102-3616,0.33
0102-3306,0.91
0101-9759,0.46
0102-3772,0.22
0101-7330,0.64
0102-4698,0.53
0102-5716,0.16
0101-9031,0.21
0102-4450,0.19
0102-5473,0.09
0102-0188,0.16
0102-4809,0.09
0101-7136,0.26
0101-4714,0.03
0102-4175,0.05
0101-9074,0.06
0101-4846,0.08
0101-708X,0.24
0101-7438,0.69
0102-3098,0.48
0102-5430,0.12
0102-5767,0.4
0101-7004,0.24
0101-5001,0.0
0101-8841,0.04
0101-9880,0.0
0102-2717,0.17
0101-465X,0.15
0102-3527,0.02
0102-3586,0.0
0102-4442,0.02
0101-4838,0.0
0101-8108,0.0
0102-6437,0.0
0102-3888,0.07
0101-8701,0.12
0102-1222,0.07
0103-5053,0.76
0102-7638,1.11
0103-2100,0.5
0102-8650,1.33
0103-1104,0.73
0103-4014,0.75
0102-6933,0.53
0103-0582,1.26
0102-7972,2.39
0102-7182,0.08
0102-6720,1.17
0103-1570,0.43
0103-166X,0.49
0103-507X,0.0
0102-6801,0.04
0103-2003,0.73
0103-5118,0.03
0103-1643,0.0
0103-4111,0.13
0103-1716,0.06
0102-9169,0.03
0102-8030,0.93
0103-3638,0.1
0103-1813,0.34
0102-7735,0.03
0102-8758,0.09
0102-6712,0.83
0103-183X,0.0
0103-1538,0.13
0102-7077,0.1
0103-2178,0.11
0103-3948,0.0
0103-4332,0.02
0102-8308,0.18
0103-3123,0.6
0102-8464,0.16
0103-0620,0.0
0103-1090,0.11
0103-4065,0.11
0103-409X,0.0
0103-8478,0.55
0104-1169,0.66
0103-9733,2.21
0104-0707,0.55
0103-9016,0.88
0104-1290,0.59
0103-9954,0.74
0103-5355,0.3
0103-6440,1.51
0104-1428,1.24
0103-7331,0.54
0103-846X,1.28
0104-0014,1.09
0103-7013,0.17
0104-3552,0.27
0104-1282,0.74
0103-7307,0.14
0103-6564,0.36
0103-5150,0.44
0103-6513,1.53
0103-863X,0.48
0104-1010,0.0
0104-0588,0.14
0103-636X,0.44
0103-6971,0.15
0103-6122,0.24
0103-7706,0.11
0104-0618,0.51
0104-236X,0.11
0103-5371,0.1
0104-3293,0.22
0104-1037,0.05
